Sr.No,Change Control ,DA/Legacy,Zone/VLAN,OS Type,OS Version,Environment,Host Name,DNS Name,Domain,Production IP,Management IP,Secondary IP,Virtual  IP,ILO IP,Status,Function/Service,Function Types,Asset Type,Asset Owner,Department,"Hardware 
Category",Serial Number,Manfucaturer,Model,TP Counter Part,OSQ
1,25-Aug-2021,DA,Management,Microsoft Windows,Microsoft Windows Server 2012 R2 (64-bit),Production,A0301PMADDC07,A0301PMADDC07.tnjhs.com.pk,TNJHS,172.31.195.132,172.31.209.37,172.31.209.36,#N/A,#N/A,Powered On,DC,Domain Controller,Enterprise Applications,EAO,EAO ,Physical,SGH543YKA8,HP,HP Proliant BL660c Gen9,Mohammad Ali Raza,#N/A
2,25-Aug-2021,DA,Non-exposed,Microsoft Windows,Microsoft Windows Server 2016 (64-bit),Production,A0301PNDENO01,A0301PNDENO01.tnbss.com.pk,TNBSS,10.13.1.166,172.31.201.198,#N/A,#N/A,#N/A,Powered On,Denodo,Application,BI Applications,Usman Haider,BI,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mustafa Khalid Khan,#N/A
3,25-Aug-2021,DA,Non-exposed,Microsoft Windows,Microsoft Windows Server 2016 (64-bit),Production,A0301PNDENO02,A0301PNDENO02.tnbss.com.pk,TNBSS,10.13.1.167,172.31.201.199,#N/A,#N/A,#N/A,Powered On,Denodo,Application,BI Applications,Usman Haider,BI,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mustafa Khalid Khan,#N/A
4,25-Aug-2021,DA,Non-exposed,Microsoft Windows,Microsoft Windows Server 2016 (64-bit),Production,A0301PNDENO03,A0301PNDENO03.tnbss.com.pk,TNBSS,10.13.1.168,172.31.201.200,#N/A,#N/A,#N/A,Powered On,Denodo,Application,BI Applications,Usman Haider,BI,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mustafa Khalid Khan,#N/A
5,25-Aug-2021,DA,Non-exposed,Microsoft Windows,Microsoft Windows Server 2016 (64-bit),Production,A0301PNDENO04,A0301PNDENO04.tnbss.com.pk,TNBSS,10.13.1.169,172.31.201.201,#N/A,#N/A,#N/A,Powered On,Denodo,Application,BI Applications,Usman Haider,BI,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mustafa Khalid Khan,#N/A
6,25-Aug-2021,DA,Non-exposed,Microsoft Windows,Microsoft Windows Server 2016 (64-bit),Production,A0301PNDENOWEB1,A0301PNDENOWEB1.tnbss.com.pk,TNBSS,10.13.1.170,172.31.201.202,#N/A,#N/A,#N/A,Powered On,Denodo,Application,BI Applications,Usman Haider,BI,VM,#N/A,"VMware, Inc.","VMware, Inc.",Mustafa Khalid Khan,#N/A
7,25-Aug-2021,DA,Non-Exposed,Red Hat,RHEL 8.3,Stagging,A0310B2BUATAPI02,A0310B2BUATAPI02,Red Hat,10.96.5.228,172.28.5.132,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,API Server ,Application,Enterprise Applications,Mohib Abbas/Khalid Hayat,TP IT,VM,#N/A,#N/A,#N/A,Amena Shakil  amena.shakil@telenor.com.pk,#N/A
8,25-Aug-2021,DA,Non-Exposed,Red Hat,RHEL 8.3,Stagging,A0310B2BUATAPP02,A0310B2BUATAPP02,Red Hat,10.96.5.227,172.28.5.131,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,Application Server ,Application,Enterprise Applications,Mohib Abbas/Khalid Hayat,TP IT,VM,#N/A,#N/A,#N/A,Amena Shakil  amena.shakil@telenor.com.pk,#N/A
9,25-Aug-2021,DA,Secure,Red Hat,RHEL 8.3,Stagging,A0310B2BUATDB01,A0310B2BUATDB01,Red Hat,10.14.15.34,172.31.251.162,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,DB Server ,DB server,Enterprise Applications,Mohib Abbas/Khalid Hayat,TP IT,VM,#N/A,#N/A,#N/A,Amena Shakil  amena.shakil@telenor.com.pk,#N/A
10,25-Aug-2021,DA,Non-Exposed,Red Hat,RHEL 8.3,Stagging,A0310B2BUATPRX01,A0310B2BUATPRX01,Red Hat,10.96.5.226,172.28.5.130,No Secondary IP Per VMWare Record / Shared,#N/A,#N/A,Powered On,Proxy Server ,Application,Enterprise Applications,Mohib Abbas/Khalid Hayat,TP IT,VM,#N/A,#N/A,#N/A,Amena Shakil  amena.shakil@telenor.com.pk,#N/A
